window,start,end,drift,drift_p_value,drift_statistic,trusted,trusted_ratio,oracle_used,mean_confidence,mean_recon_error,memory_total,window_accuracy,window_precision,window_recall,window_f1,window_false_positive_rate,window_false_negative_rate,window_tn,window_fp,window_fn,window_tp
0.0,0.0,2000.0,0.0,0.5797255546996609,0.0205,1934.0,0.967,0.0,0.9824975728988647,0.011020264588296413,4096.0,0.972,0.9879253567508233,0.9523809523809523,0.9698275862068965,0.01042654028436019,0.047619047619047616,1044.0,11.0,45.0,900.0
1.0,2000.0,4000.0,0.0,0.604937699878852,0.0201,1950.0,0.975,0.0,0.984996497631073,0.010910771787166595,4096.0,0.9785,0.9967213114754099,0.957983193277311,0.9769683985002677,0.0028625954198473282,0.04201680672268908,1045.0,3.0,40.0,912.0
2.0,4000.0,6000.0,0.0,0.08422730115348732,0.0332,1932.0,0.966,0.0,0.983309805393219,0.010601573623716831,4096.0,0.978,0.9942922374429224,0.9571428571428572,0.9753639417693168,0.0045871559633027525,0.04285714285714286,1085.0,5.0,39.0,871.0
3.0,6000.0,8000.0,0.0,0.9850642609436516,0.012,1931.0,0.9655,0.0,0.9836087822914124,0.01061794999986887,4096.0,0.9805,0.9932203389830508,0.9638157894736842,0.9782971619365609,0.0055147058823529415,0.03618421052631579,1082.0,6.0,33.0,879.0
4.0,8000.0,10000.0,0.0,0.07801943380005823,0.0336,1943.0,0.9715,0.0,0.9846164584159851,0.010852755047380924,4096.0,0.9805,0.9946865037194474,0.9649484536082474,0.979591836734694,0.0048543689320388345,0.03505154639175258,1025.0,5.0,34.0,936.0
5.0,10000.0,12000.0,0.0,0.12401068103585469,0.0311,1936.0,0.968,0.0,0.9829514026641846,0.010799745097756386,4096.0,0.9715,0.9873563218390805,0.949171270718232,0.9678873239436621,0.01004566210045662,0.05082872928176796,1084.0,11.0,46.0,859.0
6.0,12000.0,14000.0,0.0,0.8531675881538794,0.016,1930.0,0.965,0.0,0.9833382368087769,0.010981081053614616,4096.0,0.9805,0.9933993399339934,0.9647435897435898,0.9788617886178862,0.005639097744360902,0.035256410256410256,1058.0,6.0,33.0,903.0
7.0,14000.0,16000.0,0.0,0.9924979633498441,0.0113,1925.0,0.9625,0.0,0.9822279214859009,0.010726233944296837,4096.0,0.9805,0.9933993399339934,0.9647435897435898,0.9788617886178862,0.005639097744360902,0.035256410256410256,1058.0,6.0,33.0,903.0
8.0,16000.0,18000.0,0.0,0.7066437200286122,0.0185,1926.0,0.963,0.0,0.9818070530891418,0.01098755281418562,4096.0,0.976,0.9908466819221968,0.9558498896247241,0.9730337078651685,0.007312614259597806,0.04415011037527594,1086.0,8.0,40.0,866.0
9.0,18000.0,20000.0,0.0,0.6749488710114183,0.019,1928.0,0.964,0.0,0.9817922711372375,0.010939840227365494,4096.0,0.9725,0.98568281938326,0.9551760939167556,0.970189701897019,0.012229539040451553,0.044823906083244394,1050.0,13.0,42.0,895.0
10.0,20000.0,22000.0,0.0,0.9051035771712543,0.0149,1925.0,0.9625,0.0,0.9824624061584473,0.010862793773412704,4096.0,0.9725,0.9888392857142857,0.9516648764769066,0.969896004378763,0.009354536950420954,0.04833512352309345,1059.0,10.0,45.0,886.0
11.0,22000.0,24000.0,0.0,0.5486149452356952,0.021,1936.0,0.968,0.0,0.9831057190895081,0.010682131163775921,4096.0,0.9765,0.9932356257046223,0.955531453362256,0.9740187949143173,0.0055658627087198514,0.044468546637744036,1072.0,6.0,41.0,881.0
12.0,24000.0,26000.0,0.0,0.5923018951410725,0.0203,1937.0,0.9685,0.0,0.9845922589302063,0.010481984354555607,4096.0,0.981,0.9945533769063181,0.9651162790697675,0.9796137339055794,0.004743833017077799,0.03488372093023256,1049.0,5.0,33.0,913.0
13.0,26000.0,28000.0,0.0,0.3936771889602783,0.0237,1926.0,0.963,0.0,0.9817418456077576,0.010753300972282887,4096.0,0.9765,0.9935691318327974,0.9576446280991735,0.9752761704366123,0.005813953488372093,0.042355371900826444,1026.0,6.0,41.0,927.0
14.0,28000.0,30000.0,0.0,0.8780571783201782,0.0155,1937.0,0.9685,0.0,0.9835546016693115,0.011169704608619213,4096.0,0.979,0.9856985698569857,0.9686486486486486,0.9770992366412213,0.012093023255813953,0.03135135135135135,1062.0,13.0,29.0,896.0
15.0,30000.0,32000.0,0.0,0.08915148504265634,0.0329,1924.0,0.962,0.0,0.9820822477340698,0.010633436031639576,4096.0,0.9775,0.9965116279069768,0.9532814238042269,0.9744172825469016,0.0027247956403269754,0.04671857619577308,1098.0,3.0,42.0,857.0
16.0,32000.0,34000.0,0.0,0.18396741402190978,0.0288,1929.0,0.9645,0.0,0.9826985001564026,0.010870416648685932,4096.0,0.9775,0.994475138121547,0.9574468085106383,0.975609756097561,0.0047169811320754715,0.0425531914893617,1055.0,5.0,40.0,900.0
17.0,34000.0,36000.0,1.0,0.016423334914510628,0.0409,1933.0,0.9665,0.0,0.9843438863754272,0.010619305074214935,4096.0,0.9775,0.9958027282266527,0.9585858585858585,0.9768399382398353,0.0039603960396039604,0.04141414141414142,1006.0,4.0,41.0,949.0
18.0,36000.0,38000.0,1.0,1.8978015285890876e-86,0.2616,1928.0,0.964,0.0,0.9815400242805481,0.011081014759838581,4096.0,0.9685,0.985838779956427,0.9476439790575916,0.9663641217298451,0.012440191387559809,0.05235602094240838,1032.0,13.0,50.0,905.0
19.0,38000.0,40000.0,1.0,4.405718948082199e-90,0.267,1950.0,0.975,0.0,0.9829349517822266,0.011296214535832405,4096.0,0.979,0.9967602591792657,0.9594594594594594,0.9777542372881356,0.002890173410404624,0.04054054054054054,1035.0,3.0,39.0,923.0
20.0,40000.0,42000.0,1.0,3.753265249393752e-27,0.1464,1952.0,0.976,0.0,0.981870710849762,0.011468371376395226,4096.0,0.9765,0.9921875,0.9569429494079655,0.9742465753424658,0.006535947712418301,0.04305705059203445,1064.0,7.0,40.0,889.0
21.0,42000.0,44000.0,1.0,1.0254898075042033e-15,0.1108,1959.0,0.9795,0.0,0.9837173819541931,0.011339542455971241,4096.0,0.9805,0.9934065934065934,0.9647812166488794,0.9788846778559828,0.005644402634054563,0.035218783351120594,1057.0,6.0,33.0,904.0
22.0,44000.0,46000.0,1.0,4.6885140377124816e-11,0.0924,1969.0,0.9845,0.0,0.9842661619186401,0.011052623391151428,4096.0,0.9765,0.9944629014396457,0.9553191489361702,0.9744981009224092,0.0047169811320754715,0.04468085106382979,1055.0,5.0,42.0,898.0
23.0,46000.0,48000.0,1.0,1.7918191304745057e-08,0.0804,1967.0,0.9835,0.0,0.9843099117279053,0.010910741053521633,4096.0,0.9775,0.9933184855233853,0.958109559613319,0.9753963914707491,0.005612722170252572,0.04189044038668099,1063.0,6.0,39.0,892.0
24.0,48000.0,50000.0,1.0,3.0891932192278582e-71,0.2376,1968.0,0.984,0.0,0.9830440282821655,0.011451644822955132,4096.0,0.976,0.9900221729490022,0.9581545064377682,0.9738276990185386,0.008426966292134831,0.04184549356223176,1059.0,9.0,39.0,893.0
25.0,50000.0,52000.0,1.0,3.1083352298464575e-52,0.2035,1968.0,0.984,0.0,0.9819811582565308,0.01047276146709919,4096.0,0.9755,0.992152466367713,0.9546925566343042,0.9730621220450796,0.0065237651444548,0.045307443365695796,1066.0,7.0,42.0,885.0
26.0,52000.0,54000.0,1.0,8.52473133994435e-99,0.2795,1965.0,0.9825,0.0,0.9807402491569519,0.010549805127084255,4096.0,0.9745,0.9858233369683751,0.9596602972399151,0.9725658956428188,0.012287334593572778,0.040339702760084924,1045.0,13.0,38.0,904.0
27.0,54000.0,56000.0,1.0,9.034694598856895e-18,0.118,1973.0,0.9865,0.0,0.9832677245140076,0.010944007895886898,4096.0,0.975,0.9934994582881906,0.9542143600416233,0.9734607218683651,0.005774783445620789,0.045785639958376693,1033.0,6.0,44.0,917.0
28.0,56000.0,58000.0,1.0,1.7187657359606227e-20,0.1269,1972.0,0.986,0.0,0.9817753434181213,0.010438086465001106,4096.0,0.9765,0.9890590809628009,0.9606801275239107,0.9746630727762804,0.009442870632672332,0.039319872476089264,1049.0,10.0,37.0,904.0
29.0,58000.0,60000.0,1.0,8.470503216114787e-16,0.1111,1970.0,0.985,0.0,0.9813578724861145,0.010204019956290722,4096.0,0.98,0.9933628318584071,0.9635193133047211,0.9782135076252724,0.0056179775280898875,0.03648068669527897,1062.0,6.0,34.0,898.0
30.0,60000.0,62000.0,1.0,1.516806508141886e-57,0.2136,1971.0,0.9855,0.0,0.9800153970718384,0.010379413142800331,4096.0,0.98,0.9887133182844243,0.9668874172185431,0.9776785714285714,0.009140767824497258,0.033112582781456956,1084.0,10.0,30.0,876.0
31.0,62000.0,64000.0,1.0,1.0381787100852808e-14,0.1071,1977.0,0.9885,0.0,0.9797690510749817,0.010303870774805546,4096.0,0.9755,0.9920724801812004,0.954248366013072,0.9727928928373126,0.006469500924214418,0.0457516339869281,1075.0,7.0,42.0,876.0
32.0,64000.0,66000.0,1.0,9.028350242465688e-16,0.111,1970.0,0.985,0.0,0.9791302680969238,0.010010920464992523,4096.0,0.974,0.9910112359550561,0.9524838012958964,0.9713656387665198,0.0074487895716946,0.047516198704103674,1066.0,8.0,44.0,882.0
33.0,66000.0,68000.0,1.0,3.5218673506835787e-63,0.2238,1974.0,0.987,0.0,0.9787088632583618,0.00995482038706541,4096.0,0.978,0.9885974914481186,0.9622641509433962,0.9752530933633297,0.009099181073703366,0.03773584905660377,1089.0,10.0,34.0,867.0
34.0,68000.0,70000.0,1.0,3.0305458313538394e-18,0.1196,1979.0,0.9895,0.0,0.9796676635742188,0.009919293224811554,4096.0,0.978,0.991140642303433,0.9613319011815252,0.9760087241003272,0.007483629560336763,0.03866809881847476,1061.0,8.0,36.0,895.0
35.0,70000.0,72000.0,1.0,2.6602038983326135e-20,0.1263,1978.0,0.989,0.0,0.9790407419204712,0.009788872674107552,4096.0,0.9785,0.9941245593419507,0.9570135746606335,0.9752161383285303,0.004480286738351254,0.042986425339366516,1111.0,5.0,38.0,846.0
36.0,72000.0,74000.0,1.0,7.576339747181021e-19,0.1216,1985.0,0.9925,0.0,0.9794975519180298,0.009543824940919876,4096.0,0.9765,0.9899665551839465,0.958963282937365,0.9742183214481623,0.008379888268156424,0.04103671706263499,1065.0,9.0,38.0,888.0
37.0,74000.0,76000.0,1.0,4.100603500192282e-15,0.1086,1983.0,0.9915,0.0,0.9787258505821228,0.009835336357355118,4096.0,0.973,0.9904534606205251,0.9474885844748858,0.9684947491248541,0.0071174377224199285,0.05251141552511415,1116.0,8.0,46.0,830.0
38.0,76000.0,78000.0,1.0,1.644648722593985e-48,0.1961,1982.0,0.991,0.0,0.9778006672859192,0.009383352473378181,4096.0,0.9815,0.9944258639910813,0.9653679653679653,0.9796814936847885,0.004646840148698885,0.03463203463203463,1071.0,5.0,32.0,892.0
