window,start,end,drift,drift_p_value,drift_statistic,trusted,trusted_ratio,oracle_used,mean_confidence,mean_recon_error,memory_total,window_accuracy,window_precision,window_recall,window_f1,window_false_positive_rate,window_false_negative_rate,window_tn,window_fp,window_fn,window_tp
0.0,0.0,2000.0,0.0,0.887432475481759,0.0153,1937.0,0.9685,0.0,0.9882110953330994,0.0064394292421638966,4096.0,0.987,0.9852164730728616,0.9873015873015873,0.9862579281183932,0.013270142180094787,0.012698412698412698,1041.0,14.0,12.0,933.0
1.0,2000.0,4000.0,0.0,0.6558348130336308,0.0193,1950.0,0.975,0.0,0.9899028539657593,0.0061766826547682285,4096.0,0.989,0.9946808510638298,0.9821428571428571,0.9883720930232558,0.004770992366412214,0.017857142857142856,1043.0,5.0,17.0,935.0
2.0,4000.0,6000.0,1.0,0.04638369308447315,0.0362,1947.0,0.9735,0.0,0.9886814951896667,0.0060430564917624,4096.0,0.988,0.991130820399113,0.9824175824175824,0.9867549668874172,0.007339449541284404,0.017582417582417582,1082.0,8.0,16.0,894.0
3.0,6000.0,8000.0,1.0,0.00011695512961872304,0.0583,1958.0,0.979,0.0,0.990824818611145,0.006817253306508064,4096.0,0.9835,0.9921612541993281,0.9714912280701754,0.9817174515235456,0.006433823529411764,0.02850877192982456,1081.0,7.0,26.0,886.0
4.0,8000.0,10000.0,1.0,0.004376405614936178,0.0462,1964.0,0.982,0.0,0.9924097657203674,0.007111253682523966,4096.0,0.9845,0.9978791092258749,0.9701030927835051,0.9837950862519602,0.001941747572815534,0.029896907216494847,1028.0,2.0,29.0,941.0
5.0,10000.0,12000.0,1.0,0.0006733349372379688,0.0528,1960.0,0.98,0.0,0.9913185834884644,0.007249398157000542,4096.0,0.9775,0.989749430523918,0.9602209944751381,0.9747616376892877,0.00821917808219178,0.039779005524861875,1086.0,9.0,36.0,869.0
6.0,12000.0,14000.0,1.0,2.20107607624078e-12,0.098,1960.0,0.98,0.0,0.990608811378479,0.00727330194786191,4096.0,0.9835,0.9891657638136512,0.9754273504273504,0.9822485207100592,0.009398496240601503,0.024572649572649572,1054.0,10.0,23.0,913.0
7.0,14000.0,16000.0,1.0,1.2506932680301261e-12,0.099,1960.0,0.98,0.0,0.9907523989677429,0.007168223150074482,4096.0,0.9815,0.9923329682365827,0.967948717948718,0.9799891833423472,0.006578947368421052,0.03205128205128205,1057.0,7.0,30.0,906.0
8.0,16000.0,18000.0,1.0,1.663871221685957e-09,0.0854,1975.0,0.9875,0.0,0.9913247227668762,0.0073442221619188786,4096.0,0.979,0.990909090909091,0.9624724061810155,0.9764837625979843,0.007312614259597806,0.037527593818984545,1086.0,8.0,34.0,872.0
9.0,18000.0,20000.0,1.0,6.17658773934178e-10,0.0874,1975.0,0.9875,0.0,0.9910117387771606,0.007228200323879719,4096.0,0.9745,0.9857456140350878,0.959445037353255,0.9724175229853975,0.012229539040451553,0.04055496264674493,1050.0,13.0,38.0,899.0
10.0,20000.0,22000.0,1.0,6.340875368451383e-12,0.0961,1978.0,0.989,0.0,0.9916378259658813,0.007173135876655579,4096.0,0.9775,0.991130820399113,0.9602577873254565,0.9754500818330606,0.007483629560336763,0.0397422126745435,1061.0,8.0,37.0,894.0
11.0,22000.0,24000.0,1.0,2.2197307987531908e-11,0.0938,1977.0,0.9885,0.0,0.9925510883331299,0.006976807489991188,4096.0,0.979,0.9932735426008968,0.9609544468546638,0.9768467475192945,0.0055658627087198514,0.039045553145336226,1072.0,6.0,36.0,886.0
12.0,24000.0,26000.0,1.0,3.370724038741506e-10,0.0886,1982.0,0.991,0.0,0.9930800795555115,0.006698166020214558,4096.0,0.981,0.9945533769063181,0.9651162790697675,0.9796137339055794,0.004743833017077799,0.03488372093023256,1049.0,5.0,33.0,913.0
13.0,26000.0,28000.0,1.0,0.00554077836517174,0.0453,1980.0,0.99,0.0,0.9924286007881165,0.006741570308804512,4096.0,0.9795,0.9957219251336898,0.9617768595041323,0.9784550709406201,0.003875968992248062,0.038223140495867766,1028.0,4.0,37.0,931.0
14.0,28000.0,30000.0,0.0,0.3156086283935313,0.0253,1974.0,0.987,0.0,0.9915252923965454,0.007054582703858614,4096.0,0.981,0.9878987898789879,0.9708108108108108,0.9792802617230099,0.010232558139534883,0.02918918918918919,1064.0,11.0,27.0,898.0
15.0,30000.0,32000.0,1.0,0.021667351943858274,0.0397,1992.0,0.996,0.0,0.9936971068382263,0.006795254070311785,4096.0,0.9795,0.9953810623556582,0.9588431590656284,0.976770538243626,0.0036330608537693005,0.041156840934371525,1097.0,4.0,37.0,862.0
16.0,32000.0,34000.0,1.0,4.586923812811093e-06,0.0673,1976.0,0.988,0.0,0.9915937185287476,0.0070622568018734455,4096.0,0.978,0.9901531728665208,0.9627659574468085,0.9762675296655879,0.008490566037735849,0.03723404255319149,1051.0,9.0,35.0,905.0
17.0,34000.0,36000.0,1.0,0.0006147614367012607,0.0531,1983.0,0.9915,0.0,0.9930681586265564,0.006798676215112209,4096.0,0.9775,0.9958027282266527,0.9585858585858585,0.9768399382398353,0.0039603960396039604,0.04141414141414142,1006.0,4.0,41.0,949.0
18.0,36000.0,38000.0,1.0,0.0005609938492143736,0.0534,1983.0,0.9915,0.0,0.9921284914016724,0.00671642879024148,4096.0,0.972,0.990185387131952,0.9507853403141361,0.97008547008547,0.00861244019138756,0.049214659685863874,1036.0,9.0,47.0,908.0
19.0,38000.0,40000.0,1.0,2.9822284585892837e-09,0.0842,1985.0,0.9925,0.0,0.9920520186424255,0.0068487985990941525,4096.0,0.98,0.9967672413793104,0.9615384615384616,0.978835978835979,0.002890173410404624,0.038461538461538464,1035.0,3.0,37.0,925.0
20.0,40000.0,42000.0,1.0,0.0001683009106242306,0.0572,1979.0,0.9895,0.0,0.9912110567092896,0.006802914664149284,4096.0,0.9795,0.9922394678492239,0.9634015069967707,0.977607864554888,0.006535947712418301,0.03659849300322928,1064.0,7.0,34.0,895.0
21.0,42000.0,44000.0,0.0,0.10347414613799072,0.0321,1975.0,0.9875,0.0,0.9907745122909546,0.006994704250246286,4096.0,0.98,0.9944873208379272,0.9626467449306296,0.9783080260303688,0.004703668861712135,0.03735325506937033,1058.0,5.0,35.0,902.0
22.0,44000.0,46000.0,0.0,0.12181736483832986,0.0312,1981.0,0.9905,0.0,0.9910263419151306,0.006903120782226324,4096.0,0.9785,0.9923161361141603,0.9617021276595744,0.9767693138843868,0.006603773584905661,0.03829787234042553,1053.0,7.0,36.0,904.0
23.0,46000.0,48000.0,0.0,0.5797255546996609,0.0205,1976.0,0.988,0.0,0.9905819296836853,0.006672092713415623,4096.0,0.9775,0.9922222222222222,0.9591836734693877,0.9754232659748769,0.006548175865294668,0.04081632653061224,1062.0,7.0,38.0,893.0
24.0,48000.0,50000.0,0.0,0.6622097842269199,0.0192,1978.0,0.989,0.0,0.9912023544311523,0.007210266310721636,4096.0,0.9795,0.9944506104328524,0.9613733905579399,0.977632296781233,0.0046816479400749065,0.03862660944206009,1063.0,5.0,36.0,896.0
25.0,50000.0,52000.0,0.0,0.5734631196774739,0.0206,1980.0,0.99,0.0,0.9914482235908508,0.006503249052911997,4096.0,0.9785,0.9933035714285714,0.9600862998921251,0.9764125068568293,0.005591798695246971,0.039913700107874865,1067.0,6.0,37.0,890.0
26.0,52000.0,54000.0,0.0,0.24509959879864085,0.027,1974.0,0.987,0.0,0.9907057881355286,0.0068442546762526035,4096.0,0.976,0.9869281045751634,0.9617834394904459,0.9741935483870968,0.011342155009451797,0.03821656050955414,1046.0,12.0,36.0,906.0
27.0,54000.0,56000.0,0.0,0.3066472396818447,0.0255,1980.0,0.99,0.0,0.9911603927612305,0.007061449810862541,4096.0,0.977,0.9956663055254604,0.9562955254942768,0.9755838641188959,0.0038498556304138597,0.043704474505723206,1035.0,4.0,42.0,919.0
28.0,56000.0,58000.0,0.0,0.8531675881538794,0.016,1976.0,0.988,0.0,0.9910048842430115,0.006863532122224569,4096.0,0.9795,0.9945054945054945,0.9617428267800212,0.9778498109130199,0.004721435316336166,0.03825717321997875,1054.0,5.0,36.0,905.0
29.0,58000.0,60000.0,0.0,0.7980957488831825,0.017,1977.0,0.9885,0.0,0.9912675619125366,0.0068495748564600945,4096.0,0.979,0.9900881057268722,0.9645922746781116,0.9771739130434783,0.008426966292134831,0.03540772532188841,1059.0,9.0,33.0,899.0
30.0,60000.0,62000.0,0.0,0.4423854065342289,0.0228,1977.0,0.9885,0.0,0.9912678003311157,0.006933013442903757,4096.0,0.9835,0.9932203389830508,0.9701986754966887,0.9815745393634839,0.005484460694698354,0.029801324503311258,1088.0,6.0,27.0,879.0
31.0,62000.0,64000.0,0.0,0.5180959890491585,0.0215,1982.0,0.991,0.0,0.9918790459632874,0.0068068369291722775,4096.0,0.9795,0.9954802259887006,0.9596949891067538,0.9772601220188574,0.0036968576709796672,0.04030501089324619,1078.0,4.0,37.0,881.0
32.0,64000.0,66000.0,0.0,0.40954629662942255,0.0234,1976.0,0.988,0.0,0.9906123280525208,0.0068117971532046795,4096.0,0.975,0.987750556792873,0.9578833693304536,0.9725877192982457,0.010242085661080074,0.042116630669546434,1063.0,11.0,39.0,887.0
33.0,66000.0,68000.0,0.0,0.617621413953518,0.0199,1982.0,0.991,0.0,0.9916682243347168,0.006695401854813099,4096.0,0.9825,0.9920454545454546,0.9689234184239733,0.9803481190342505,0.006369426751592357,0.03107658157602664,1092.0,7.0,28.0,873.0
34.0,68000.0,70000.0,0.0,0.4479961347927166,0.0227,1983.0,0.9915,0.0,0.9919204711914062,0.006692609749734402,4096.0,0.9795,0.9922566371681416,0.9634801288936627,0.9776566757493188,0.006548175865294668,0.036519871106337275,1062.0,7.0,34.0,897.0
