window,start,end,drift,drift_p_value,drift_statistic,trusted,trusted_ratio,oracle_used,mean_confidence,mean_recon_error,memory_total,window_accuracy,window_precision,window_recall,window_f1,window_false_positive_rate,window_false_negative_rate,window_tn,window_fp,window_fn,window_tp
0.0,0.0,2000.0,0.0,0.887432475481759,0.0153,1927.0,0.9635,0.0,0.9882110953330994,0.0064394292421638966,4096.0,0.987,0.9852164730728616,0.9873015873015873,0.9862579281183932,0.013270142180094787,0.012698412698412698,1041.0,14.0,12.0,933.0
1.0,2000.0,4000.0,0.0,0.6558348130336308,0.0193,1939.0,0.9695,0.0,0.9899028539657593,0.0061766826547682285,4096.0,0.989,0.9946808510638298,0.9821428571428571,0.9883720930232558,0.004770992366412214,0.017857142857142856,1043.0,5.0,17.0,935.0
2.0,4000.0,6000.0,1.0,0.04638369308447315,0.0362,1931.0,0.9655,0.0,0.9886814951896667,0.0060430564917624,4096.0,0.988,0.991130820399113,0.9824175824175824,0.9867549668874172,0.007339449541284404,0.017582417582417582,1082.0,8.0,16.0,894.0
3.0,6000.0,8000.0,1.0,1.1793095203140952e-09,0.0861,1937.0,0.9685,0.0,0.9880186915397644,0.00658763712272048,4096.0,0.9885,0.9933407325194229,0.981359649122807,0.9873138444567017,0.0055147058823529415,0.01864035087719298,1082.0,6.0,17.0,895.0
4.0,8000.0,10000.0,1.0,2.527478269513212e-21,0.1295,1938.0,0.969,0.0,0.987770140171051,0.007003502454608679,4096.0,0.9875,0.9958027282266527,0.9783505154639175,0.9869994799791991,0.003883495145631068,0.021649484536082474,1026.0,4.0,21.0,949.0
5.0,10000.0,12000.0,1.0,1.1804533972687898e-07,0.0762,1922.0,0.961,0.0,0.9872415661811829,0.007115466985851526,4096.0,0.9745,0.9908045977011494,0.9524861878453039,0.9712676056338028,0.0073059360730593605,0.04751381215469613,1087.0,8.0,43.0,862.0
6.0,12000.0,14000.0,1.0,2.9364712290731818e-05,0.0623,1930.0,0.965,0.0,0.9880934953689575,0.007264490704983473,4096.0,0.9825,0.9923497267759562,0.9700854700854701,0.9810913019989194,0.006578947368421052,0.029914529914529916,1057.0,7.0,28.0,908.0
7.0,14000.0,16000.0,1.0,1.1815837017582827e-12,0.0991,1924.0,0.962,0.0,0.9855569005012512,0.007189861498773098,4096.0,0.9835,0.9966996699669967,0.967948717948718,0.9821138211382114,0.002819548872180451,0.03205128205128205,1061.0,3.0,30.0,906.0
8.0,16000.0,18000.0,1.0,4.069900477430064e-08,0.0786,1926.0,0.963,0.0,0.984703004360199,0.007289494853466749,4096.0,0.9755,0.9908361970217641,0.9547461368653422,0.9724564362001124,0.007312614259597806,0.04525386313465784,1086.0,8.0,41.0,865.0
9.0,18000.0,20000.0,1.0,5.927946709009146e-05,0.0603,1916.0,0.958,0.0,0.9832977652549744,0.007254881784319878,4096.0,0.9735,0.9857142857142858,0.9573105656350054,0.971304818624797,0.012229539040451553,0.042689434364994665,1050.0,13.0,40.0,897.0
